Partlist

Exported from UpBoardXR1.sch at 3/3/2018 10:50 AM

EAGLE Version 8.5.1 Copyright (c) 1988-2017 Autodesk, Inc.

Assembly variant: 

Part      Value                       Device                      Package            Library             Sheet

C1        10pF                        C-EUC0603                   C0603              resistor            1
C2        22pF                        C-EUC0603                   C0603              resistor            1
C3        22pF                        C-EUC0603                   C0603              resistor            1
C4        22pF                        C-EUC0603                   C0603              resistor            1
C5        22pF                        C-EUC0603                   C0603              resistor            1
C6        10n                         C-EUC0603                   C0603              resistor            1
C7        100n                        C-EUC0603                   C0603              resistor            1
C8        10uF                        CPOL-EUA/3216-18R           A/3216-18R         resistor            1
C9        10uF                        CPOL-EUA/3216-18R           A/3216-18R         resistor            1
C10       10uF                        CPOL-EUA/3216-18R           A/3216-18R         resistor            1
C11       10uF                        CPOL-EUA/3216-18R           A/3216-18R         resistor            1
C12       10uF                        CPOL-EUA/3216-18R           A/3216-18R         resistor            1
CN1       100nF                       CNET                        1206-4             resistor            1
CN2       100nF                       CNET                        1206-4             resistor            1
CN3       100nF                       CNET                        1206-4             resistor            1
CN4       100nF                       CNET                        1206-4             resistor            1
D1                                    DSOD323                     SOD323             zetex               1
D2                                    DSOD323                     SOD323             zetex               1
ERASE     1000P                       1000P                       B3U-1000P          switch-omron        1
GND       LSP10                       LSP10                       LSP10              solpad              1
IC1       SAM3X8E(ARDUINO)            SAM3X8E(ARDUINO)            144-LEAD_LQFP      ATSAM3X             1
IC2       W25N01GVZEIG/IT             W25N01GVZEIG/IT             WSON               CPSS_IC             1
JP1       JTAG                        PINHD-2X5                   2X05               pinhead             1
JP2       CONFIG                      PINHD-2X3                   2X03               pinhead             1
JP3                                   CONN_02                     1X02               SparkFun-Connectors 1
L1                                    L-EU0402                    C0402              resistor            1
L2                                    L-EU0402                    C0402              resistor            1
L3                                    L-EU0402                    C0402              resistor            1
LED1                                  LEDCHIPLED_0805             CHIPLED_0805       led                 1
LED2                                  LEDCHIPLED_0805             CHIPLED_0805       led                 1
LED3                                  LEDCHIPLED_0805             CHIPLED_0805       led                 1
LS1       AI-1440-TWT-24V-2-R         AI-1440-TWT-24V-2-R         AI-1440-TWT-24-2-R UpBoard             1
PS1-1:C1  10nF                        CC0603                      C0603              eagle-ltspice       PS1:1
PS1-1:C2  100nF                       CC0603                      C0603              eagle-ltspice       PS1:1
PS1-1:C3  100nF                       C-EUC0603                   C0603              resistor            PS1:1
PS1-1:C4  1uF                         C                           C0805              eagle-ltspice       PS1:1
PS1-1:C5  4.7uF                       CC1206                      C1206              eagle-ltspice       PS1:1
PS1-1:C6  4.7uF                       C                           C0805              eagle-ltspice       PS1:1
PS1-1:C7  10uF                        CC1206                      C1206              eagle-ltspice       PS1:1
PS1-1:C8  10uF                        CC1206                      C1206              eagle-ltspice       PS1:1
PS1-1:C9  100uF                       C-EUC0805                   C0805              resistor            PS1:1
PS1-1:D1  S10M-TP                     S10M-TP                     DO-214AB           Power_Utils_Brett   PS1:1
PS1-1:IC1 TPS2115ADRB                 TPS2115ADRB                 SON-8              Power_Utils_Brett   PS1:1
PS1-1:L1  LPS6225-103MRB              LPS6225-154MRB              INDM600X600X240N   Power_Utils_Brett   PS1:1
PS1-1:L2  Wurth 742792641             RR0603                      R0603              eagle-ltspice       PS1:1
PS1-1:PS1 R-78E5.0-1.0                R-78E5.0-1.0                R-78E5.0-1.0       Power_Utils_Brett   PS1:1
PS1-1:PS2 AZ1117C                     AZ1117C                     SOT89              UpBoard B           PS1:1
PS1-1:R1  330                         RR0603                      R0603              eagle-ltspice       PS1:1
PWR                                   LEDCHIPLED_0805             CHIPLED_0805       led                 1
Q1        FFB2222A                    FFB2222A                    SC-88              CPSS_IC             1
Q2        FFB2222A                    FFB2222A                    SC-88              CPSS_IC             1
R1        39                          R-US_R0603                  R0603              resistor            1
R2        39                          R-US_R0603                  R0603              resistor            1
R3        220R                        R-US_R0402                  R0402              resistor            1
R4        220R                        R-US_R0402                  R0402              resistor            1
R5        6.8K                        R-US_R0603                  R0603              resistor            1
R6        0R                          R-US_R0603                  R0603              resistor            1
